separated_group,separated_EQ,MIN_E
607,6705,-1464.061809900417
608,6713,-1464.056330772202
609,6714,-1140.557298807705
610,7145,-926.600405696884
611,6724,-926.612165377326
612,6727,-1140.554223216439
613,6748,-1464.015200715285
614,6761,-1464.064273126197
615,6991,-987.67748643926
616,6782,-1464.022768482003
617,6786,-1464.000879827672
618,6799,-1464.048362109543
619,6800,-1464.05906184457
620,6816,-1464.049759414702
621,6825,-1464.019454063537
622,6831,-1464.018558211317
623,6835,-1464.048572027499
624,6842,-1464.03690278134
625,6851,-1464.078880760925
626,6867,-1464.04469348401
627,6868,-1464.048936566204
628,6869,-1464.033647639486
629,7121,-1464.04127057561
630,6875,-1464.001097869547
631,6891,-926.592508254427
632,6895,-1464.028430255729
633,6897,-1464.050515163531
634,6898,-1140.557307455916
635,6900,-1464.071882267676
636,6919,-1464.039788292172
637,6920,-1464.05783068162
638,6922,-987.678589447614
639,6930,-1140.534822157482
640,6942,-1157.606110146197
641,6950,-1140.551861309134
642,6957,-1464.026532856329
643,7008,-987.711885161702
644,7009,-476.315589203472
645,7283,-1464.047149095782
646,7014,-1157.616225520135
647,7033,-1464.012492887505
648,7035,-926.59588198592
649,7266,-1464.065429531484
650,7052,-1464.038659207349
651,7067,-1464.036234472732
652,7077,-1464.072013746128
653,7092,-1464.052802679822
654,7120,-1464.027515626851
655,7132,-1464.053957886852
656,7210,-1464.036913307631
657,7147,-926.600412335352
658,7156,-1464.061920859659
659,7164,-1464.025388974286
660,7175,-1464.049755988521
661,7189,-1463.994905152296
662,7190,-1464.055573828366
663,7229,-987.685857547625
664,7248,-987.676473131298
665,7242,-1464.032455718871
666,7243,-1464.05148207969
667,7256,-1462.853918741427
668,7257,-1.17441645949
669,7271,-1464.05166787284
670,,
671,7278,-1157.617372096952
672,7281,-1140.557303593372
673,7286,-1464.081947077942
